case_id,case_type,description,urgency_level,social_impact,past_delays,duration,priority
CASE-1000,Civil,Case related to tax in Civil matters.,4,5,9,843,Medium
CASE-1001,Criminal,Case related to divorce in Criminal matters.,1,1,8,444,Low
CASE-1002,Commercial,Case related to mutual in Commercial matters.,1,3,5,593,Low
CASE-1003,Traffic,Case related to rape in Traffic matters.,6,5,1,157,High
CASE-1004,Civil,Case related to rape in Civil matters.,5,1,6,422,High
CASE-1005,Family,Case related to permit in Family matters.,2,5,5,383,Low
CASE-1006,Civil,Case related to protection in Civil matters.,5,3,4,422,High
CASE-1007,Traffic,Case related to permit in Traffic matters.,2,5,9,342,Low
CASE-1008,Commercial,Case related to corporate in Commercial matters.,3,1,7,873,Medium
CASE-1009,Traffic,Case related to license in Traffic matters.,1,2,2,106,Low
CASE-1010,Commercial,Case related to rape in Commercial matters.,6,5,5,521,High
CASE-1011,Commercial,Case related to rape in Commercial matters.,5,2,5,476,High
CASE-1012,Commercial,Case related to murder in Commercial matters.,5,2,6,524,High
CASE-1013,Commercial,Case related to medical in Commercial matters.,6,4,4,443,High
CASE-1014,Civil,Case related to emergency in Civil matters.,5,2,0,348,High
CASE-1015,Civil,Case related to fine in Civil matters.,2,4,1,498,Low
CASE-1016,Civil,Case related to kidnap in Civil matters.,6,4,10,499,High
CASE-1017,Family,Case related to emergency in Family matters.,5,2,9,355,High
CASE-1018,Civil,Case related to dispute in Civil matters.,3,1,1,601,Medium
CASE-1019,Family,Case related to license in Family matters.,2,4,2,279,Low
CASE-1020,Traffic,Case related to permit in Traffic matters.,2,5,4,255,Low
CASE-1021,Family,Case related to inheritance in Family matters.,4,4,5,424,Medium
CASE-1022,Civil,Case related to corporate in Civil matters.,3,1,10,743,Medium
CASE-1023,Traffic,Case related to merger in Traffic matters.,3,3,10,350,Medium
CASE-1024,Criminal,Case related to corporate in Criminal matters.,3,2,2,550,Medium
CASE-1025,Criminal,Case related to tax in Criminal matters.,3,1,0,466,Medium
CASE-1026,Family,Case related to fine in Family matters.,2,5,3,333,Low
CASE-1027,Criminal,Case related to fine in Criminal matters.,2,5,5,499,Low
CASE-1028,Commercial,Case related to traffic in Commercial matters.,2,4,4,623,Low
CASE-1029,Family,Case related to permit in Family matters.,2,4,3,349,Low
CASE-1030,Civil,Case related to medical in Civil matters.,5,3,5,424,High
CASE-1031,Criminal,Case related to fraud in Criminal matters.,6,4,7,356,High
CASE-1032,Civil,Case related to merger in Civil matters.,3,1,9,744,Medium
CASE-1033,Commercial,Case related to dispute in Commercial matters.,4,4,4,866,Medium
CASE-1034,Family,Case related to murder in Family matters.,5,3,4,255,High
CASE-1035,Family,Case related to tax in Family matters.,4,4,3,418,Medium
