case_id,case_type,category,case_age_days,urgency,filing_date,duration,priority,status
CASE-2026-1000,Family,Routine,2492,5,2019-06-01,228,High,Resolved
CASE-2026-1001,Criminal,Public Interest,526,2,2024-10-18,549,Medium,Resolved
CASE-2026-1002,Family,Personal,2463,3,2019-06-30,271,Medium,Pending
CASE-2026-1003,Criminal,Financial,3410,4,2016-11-25,350,High,Pending
CASE-2026-1004,Commercial,Financial,880,2,2023-10-30,632,Medium,Pending
CASE-2026-1005,Commercial,High Stakes,3227,5,2017-05-27,787,High,Resolved
CASE-2026-1006,Criminal,Routine,823,2,2023-12-26,336,Medium,Resolved
CASE-2026-1007,Traffic,Financial,3263,3,2017-04-21,30,High,Resolved
CASE-2026-1008,Civil,Personal,1943,2,2020-12-01,370,Medium,Pending
CASE-2026-1009,Traffic,Routine,730,3,2024-03-28,159,Medium,Pending
CASE-2026-1010,Criminal,Public Interest,2453,5,2019-07-10,497,High,Pending
CASE-2026-1011,Traffic,Routine,1613,4,2021-10-27,63,High,Pending
CASE-2026-1012,Criminal,Financial,3416,4,2016-11-19,434,High,Resolved
CASE-2026-1013,Family,Personal,1806,5,2021-04-17,282,High,Pending
CASE-2026-1014,Civil,Public Interest,3070,2,2017-10-31,526,High,Pending
CASE-2026-1015,Criminal,Routine,2653,4,2018-12-22,272,High,Resolved
CASE-2026-1016,Criminal,Financial,807,2,2024-01-11,448,Medium,Pending
CASE-2026-1017,Criminal,Financial,713,4,2024-04-14,549,High,Resolved
CASE-2026-1018,Commercial,Personal,1693,3,2021-08-08,572,Medium,Resolved
CASE-2026-1019,Family,Personal,898,4,2023-10-12,298,High,Resolved
CASE-2026-1020,Civil,High Stakes,1317,5,2022-08-19,802,High,Pending
CASE-2026-1021,Criminal,Personal,1866,3,2021-02-16,319,High,Pending
CASE-2026-1022,Criminal,Personal,1064,5,2023-04-29,444,High,Pending
CASE-2026-1023,Traffic,Personal,599,5,2024-08-06,182,High,Pending
CASE-2026-1024,Civil,Routine,1137,1,2023-02-15,333,Medium,Pending
CASE-2026-1025,Criminal,Personal,2496,5,2019-05-28,359,High,Pending
CASE-2026-1026,Commercial,Financial,2002,4,2020-10-03,646,High,Resolved
CASE-2026-1027,Traffic,Personal,3362,5,2017-01-12,78,High,Resolved
CASE-2026-1028,Family,Personal,2331,3,2019-11-09,289,Medium,Pending
